satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Data source,GAL Week,SISA signal,SV health,BGDa,BGDb,t_tm
E02,2025-03-23 00:00:00,48.15625,3.093343135872e-09,2.233491313193,2.289190888405e-06,0.00043546571396290004,7.506459951401e-06,5440.612714767,0.0,0.0,0.9325280961097001,5.4016709327700004e-08,0.9642131037803001,181.34375,0.8414227163821,-5.48915721686e-09,-1.935794919343e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,665.0
E02,2025-03-23 00:00:00,48.15625,3.093343135872e-09,2.233491313193,2.289190888405e-06,0.00043546571396290004,7.506459951401e-06,5440.612714767,0.0,0.0,0.9325280961097001,5.4016709327700004e-08,0.9642131037803001,181.34375,0.8414227163821,-5.48915721686e-09,-1.935794919343e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,700.0
E02,2025-03-23 00:10:00,47.09375,3.095128924543e-09,2.307937888843,2.242624759674e-06,0.00043559505138550007,7.519498467444999e-06,5440.612453461,600.0,0.0,0.9325248030811001,5.774199962616e-08,0.9642130101536002,181.03125,0.8413614054854,-5.486299954986001e-09,-1.9536528060530002e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,1265.0
E02,2025-03-23 00:10:00,47.09375,3.095128924543e-09,2.307937888843,2.242624759674e-06,0.00043559505138550007,7.519498467444999e-06,5440.612453461,600.0,0.0,0.9325248030811001,5.774199962616e-08,0.9642130101536002,181.03125,0.8413614054854,-5.486299954986001e-09,-1.9536528060530002e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,1300.0
E02,2025-03-23 00:20:00,46.0,3.096914713214e-09,2.382361113394,2.1960586309429998e-06,0.00043572834692900004,7.526949048041999e-06,5440.612186432,1200.0,-3.725290298462e-09,0.9325215100525001,6.332993507385e-08,0.9642129209156001,180.875,0.8413234559275001,-5.482371219910001e-09,-1.978653847446e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,1865.0
E02,2025-03-23 00:20:00,46.0,3.096914713214e-09,2.382361113394,2.1960586309429998e-06,0.00043572834692900004,7.526949048041999e-06,5440.612186432,1200.0,-3.725290298462e-09,0.9325215100525001,6.332993507385e-08,0.9642129209156001,180.875,0.8413234559275001,-5.482371219910001e-09,-1.978653847446e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,1900.0
E02,2025-03-23 00:30:00,44.90625,3.098700501885e-09,2.456761977243,2.149492502213e-06,0.0004358624573797,7.526949048041999e-06,5440.61192131,1800.0,-1.117587089539e-08,0.9325182258014,7.078051567078001e-08,0.9642128360663,180.875,0.8413078714612001,-5.4780853271e-09,-2.014369620866e-10,516.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,2464.0
E02,2025-03-23 00:30:00,44.90625,3.098700501885e-09,2.456761977243,2.149492502213e-06,0.0004358624573797,7.526949048041999e-06,5440.61192131,1800.0,-1.117587089539e-08,0.9325182258014,7.078051567078001e-08,0.9642128360663,180.875,0.8413078714612001,-5.4780853271e-09,-2.014369620866e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,2500.0
E02,2025-03-23 00:40:00,43.84375,3.100129132822e-09,2.531139425625,2.1066516637800002e-06,0.0004359919112176,7.519498467444999e-06,5440.611663818,2400.0,-1.862645149231e-08,0.9325149488649,7.636845111847e-08,0.9642127556058,181.0625,0.8413157156279001,-5.473442276555e-09,-2.057228548969e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,3064.0
E02,2025-03-23 00:40:00,43.84375,3.100129132822e-09,2.531139425625,2.1066516637800002e-06,0.0004359919112176,7.519498467444999e-06,5440.611663818,2400.0,-1.862645149231e-08,0.9325149488649,7.636845111847e-08,0.9642127556058,181.0625,0.8413157156279001,-5.473442276555e-09,-2.057228548969e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,3100.0
E02,2025-03-23 00:50:00,42.90625,3.1015577637590004e-09,2.605495494923,2.0675361156459998e-06,0.00043611275032160005,7.506459951401e-06,5440.6114254,3000.0,-2.9802322387700004e-08,0.932511679243,8.009374141693e-08,0.9642126780711999,181.34375,0.8413449505828,-5.468442068276001e-09,-2.114373786441e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,3664.0
E02,2025-03-23 00:50:00,42.90625,3.1015577637590004e-09,2.605495494923,2.0675361156459998e-06,0.00043611275032160005,7.506459951401e-06,5440.6114254,3000.0,-2.9802322387700004e-08,0.932511679243,8.009374141693e-08,0.9642126780711999,181.34375,0.8413449505828,-5.468442068276001e-09,-2.114373786441e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,3700.0
E02,2025-03-23 01:00:00,42.09375,3.102629236961e-09,2.679835359476,2.035871148109e-06,0.0004362224135548,7.489696145057999e-06,5440.6112041470005,3600.0,-4.2840838432310007e-08,0.9325084169357001,8.195638656615999e-08,0.9642126005365,181.78125,0.8413904063734,-5.4634418599970006e-09,-2.178662178596e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,4264.0
E02,2025-03-23 01:00:00,42.09375,3.102629236961e-09,2.679835359476,2.035871148109e-06,0.0004362224135548,7.489696145057999e-06,5440.6112041470005,3600.0,-4.2840838432310007e-08,0.9325084169357001,8.195638656615999e-08,0.9642126005365,181.78125,0.8413904063734,-5.4634418599970006e-09,-2.178662178596e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,4300.0
E02,2025-03-23 01:10:00,41.40625,3.103700710164e-09,2.75416407952,2.011656761169e-06,0.0004363181069493,7.471069693564999e-06,5440.611009598,4200.0,-5.774199962616e-08,0.9325051648688,8.009374141693e-08,0.9642125215388999,182.25,0.8414470242288999,-5.4584416517190006e-09,-2.2536653027770003e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,4864.0
E02,2025-03-23 01:10:00,41.40625,3.103700710164e-09,2.75416407952,2.011656761169e-06,0.0004363181069493,7.471069693564999e-06,5440.611009598,4200.0,-5.774199962616e-08,0.9325051648688,8.009374141693e-08,0.9642125215388999,182.25,0.8414470242288999,-5.4584416517190006e-09,-2.2536653027770003e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,4900.0
E02,2025-03-23 01:20:00,40.90625,3.1047721833670002e-09,2.828487786144,1.993030309677e-06,0.0004363976186141,7.4543058872219995e-06,5440.610841751,4800.0,-7.264316082001e-08,0.9325019230424,7.450580596924e-08,0.9642124396155,182.71875,0.8415086715968001,-5.454155758908e-09,-2.335811581642e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,5464.0
E02,2025-03-23 01:20:00,40.90625,3.1047721833670002e-09,2.828487786144,1.993030309677e-06,0.0004363976186141,7.4543058872219995e-06,5440.610841751,4800.0,-7.264316082001e-08,0.9325019230424,7.450580596924e-08,0.9642124396155,182.71875,0.8415086715968001,-5.454155758908e-09,-2.335811581642e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,5500.0
E02,2025-03-23 01:30:00,40.5625,3.105486498835e-09,2.902809320334,1.981854438782e-06,0.0004364622291178,7.437542080879e-06,5440.610702515,5400.0,-8.754432201385e-08,0.9324986885305,6.705522537231e-08,0.9642123547663,183.1875,0.8415725060272001,-5.450227023832e-09,-2.4286725925330003e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,6064.0
E02,2025-03-23 01:30:00,40.5625,3.105486498835e-09,2.902809320334,1.981854438782e-06,0.0004364622291178,7.437542080879e-06,5440.610702515,5400.0,-8.754432201385e-08,0.9324986885305,6.705522537231e-08,0.9642123547663,183.1875,0.8415725060272001,-5.450227023832e-09,-2.4286725925330003e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,6100.0
E02,2025-03-23 01:40:00,40.34375,3.106557972038e-09,2.977133964688,1.9762665033339997e-06,0.0004365125205368,7.424503564835e-06,5440.610589981,6000.0,-9.872019290924e-08,0.9324954627961001,5.4016709327700004e-08,0.9642122684541001,183.625,0.8416332405341,-5.447012604224e-09,-2.528676758108e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,6664.0
E02,2025-03-23 01:40:00,40.34375,3.106557972038e-09,2.977133964688,1.9762665033339997e-06,0.0004365125205368,7.424503564835e-06,5440.610589981,6000.0,-9.872019290924e-08,0.9324954627961001,5.4016709327700004e-08,0.9642122684541001,183.625,0.8416332405341,-5.447012604224e-09,-2.528676758108e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,6700.0
E02,2025-03-23 01:50:00,40.21875,3.1076294452400005e-09,3.051465733453,1.972541213036e-06,0.0004365500062704,7.415190339088e-06,5440.61050415,6600.0,-1.098960638046e-07,0.9324922443763001,3.911554813385e-08,0.9642121762903001,183.96875,0.8416868667222,-5.444512500085e-09,-2.635824078367e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,7264.0
E02,2025-03-23 01:50:00,40.21875,3.1076294452400005e-09,3.051465733453,1.972541213036e-06,0.0004365500062704,7.415190339088e-06,5440.61050415,6600.0,-1.098960638046e-07,0.9324922443763001,3.911554813385e-08,0.9642121762903001,183.96875,0.8416868667222,-5.444512500085e-09,-2.635824078367e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,7300.0
E02,2025-03-23 02:00:00,40.15625,3.1094152339110004e-09,3.125806317763,1.972541213036e-06,0.0004365761997178,7.4096024036409995e-06,5440.610441208,7200.0,-1.1548399925229999e-07,0.9324890332712,2.0489096641539998e-08,0.9642120782747,184.21875,0.8417316861434,-5.443083869148001e-09,-2.7429713986260003e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,7864.0
E02,2025-03-23 02:00:00,40.15625,3.1094152339110004e-09,3.125806317763,1.972541213036e-06,0.0004365761997178,7.4096024036409995e-06,5440.610441208,7200.0,-1.1548399925229999e-07,0.9324890332712,2.0489096641539998e-08,0.9642120782747,184.21875,0.8417316861434,-5.443083869148001e-09,-2.7429713986260003e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,7900.0
E02,2025-03-23 02:10:00,40.15625,3.111201022582e-09,-3.083028657684,1.972541213036e-06,0.0004365949425846,7.4096024036409995e-06,5440.610395432001,7800.0,-1.173466444016e-07,0.9324858280176,1.862645149231e-09,0.9642119714817,184.4375,0.8417667639931001,-5.44236955368e-09,-2.857261873569e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,8464.0
E02,2025-03-23 02:10:00,40.15625,3.111201022582e-09,-3.083028657684,1.972541213036e-06,0.0004365949425846,7.4096024036409995e-06,5440.610395432001,7800.0,-1.173466444016e-07,0.9324858280176,1.862645149231e-09,0.9642119714817,184.4375,0.8417667639931001,-5.44236955368e-09,-2.857261873569e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,8500.0
E02,2025-03-23 02:20:00,40.15625,3.113701126721e-09,-3.008671782319,1.972541213036e-06,0.00043660774827,7.4096024036409995e-06,5440.610359192,8400.0,-1.1548399925229999e-07,0.9324826300787001,-1.862645149231e-08,0.9642118544483002,184.59375,0.8417953084506,-5.443083869148001e-09,-2.971552348511e-10,517.0,2359.0,3.12,0.0,-1.629814505577e-09,-2.5611370801929998e-09,9064.0
E02,2025-03-23 02:20:00,40.15625,3.113701126721e-09,-3.008671782319,1.972541213036e-06,0.00043660774827,7.4096024036409995e-06,5440.610359192,8400.0,-1.1548399925229999e-07,0.9324826300787001,-1.862645149231e-08,0.9642118544483002,184.59375,0.8417953084506,-5.443083869148001e-09,-2.971552348511e-10,258.0,2359.0,3.12,0.0,-1.629814505577e-09,0.0,9100.0
